participant.cnpjNumber,foreignCurrency,transactionType,value,valueUpdateDateTime,transactionCategory,targetAudience,lastUpdate
191,USD,COMPRA,4.8849,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:19Z
191,USD,COMPRA,4.8849,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:25Z
191,USD,COMPRA,4.9599,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:51Z
191,USD,COMPRA,4.9599,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:56Z
191,USD,COMPRA,4.9599,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:03Z
191,USD,COMPRA,4.9599,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:08Z
191,USD,COMPRA,4.9599,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:14Z
191,USD,COMPRA,4.9599,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:19Z
191,USD,COMPRA,4.9599,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:25Z
191,USD,VENDA,4.9885,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:51Z
191,USD,VENDA,4.9885,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:56Z
191,USD,VENDA,4.9885,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:03Z
191,USD,VENDA,4.9885,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:08Z
191,USD,VENDA,4.9885,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:14Z
191,USD,VENDA,4.9885,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:19Z
191,USD,VENDA,5.0635,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:25:51Z
191,USD,VENDA,5.0635,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:25:56Z
191,USD,VENDA,5.0635,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:03Z
191,USD,VENDA,5.0635,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:08Z
191,USD,VENDA,5.0635,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:14Z
191,USD,VENDA,5.0635,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:19Z
191,EUR,COMPRA,5.287538,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:25:51Z
191,EUR,COMPRA,5.287538,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:25:56Z
191,EUR,COMPRA,5.287538,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:03Z
191,EUR,COMPRA,5.287538,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:08Z
191,EUR,COMPRA,5.287538,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:25Z
191,EUR,COMPRA,5.288026,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:14Z
191,EUR,COMPRA,5.288026,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:19Z
191,EUR,COMPRA,5.36872,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:51Z
191,EUR,COMPRA,5.36872,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:56Z
191,EUR,COMPRA,5.36872,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:03Z
191,EUR,COMPRA,5.36872,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:08Z
191,EUR,COMPRA,5.36872,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:25Z
191,EUR,COMPRA,5.369216,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:14Z
191,EUR,COMPRA,5.369216,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:19Z
191,EUR,VENDA,5.410402,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:14Z
191,EUR,VENDA,5.410402,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:19Z
191,EUR,VENDA,5.4114,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:51Z
191,EUR,VENDA,5.4114,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:25:56Z
191,EUR,VENDA,5.4114,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:03Z
191,EUR,VENDA,5.4114,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:08Z
191,EUR,VENDA,5.491746,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:14Z
191,EUR,VENDA,5.491746,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:19Z
191,EUR,VENDA,5.492758,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:25:51Z
191,EUR,VENDA,5.492758,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:25:56Z
191,EUR,VENDA,5.492758,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:03Z
191,EUR,VENDA,5.492758,2024-03-25T18:25:50Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:08Z
191,USD,VENDA,4.989,2024-03-25T18:26:20Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:25Z
191,USD,VENDA,5.064,2024-03-25T18:26:20Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:25Z
191,EUR,VENDA,5.411942,2024-03-25T18:26:20Z,SERVICOS_DIVERSOS,PESSOA_JURIDICA,2024-03-25T15:26:25Z
191,EUR,VENDA,5.493301,2024-03-25T18:26:20Z,SERVICOS_DIVERSOS,PESSOA_NATURAL,2024-03-25T15:26:25Z
